experiment_id,experiment_type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16,Q17
93ce4de2-482c-41bb-b214-9c1c368201f3,0,6,4,1,4,5,5,6,7,5,5,4,4,4,6,7,7
4f546aca-b73e-4050-96b0-5b06bb25b930,0,7,7,6,7,6,7,7,7,5,7,6,7,7,7,7,7
aeab3ac0-68c6-4e49-a0d2-74f1d80134a4,0,7,7,7,7,5,7,7,7,5,6,5,7,7,7,7,7
8741cdde-a25b-4350-b6d5-764aa0798cbf,0,3,5,1,7,7,7,7,5,5,3,2,3,3,6,7,7
c4f2f4c0-426b-4f80-9dbc-ce3f24c479c5,0,4,4,7,5,5,6,7,7,5,6,4,4,5,1,4,7
f206c24c-c8ec-4248-8aec-80c84c1cd2b9,0,7,6,7,7,7,7,7,7,5,7,5,7,6,7,7,7
781dc3f3-c6f0-4d11-a85a-a9be2189be9f,0,6,6,1,5,6,7,4,7,5,7,4,6,5,3,7,7
a41192e6-6d17-4d90-84d8-4f8331e85140,0,7,6,7,6,4,7,7,7,5,6,3,6,6,6,7,7
6f257436-df04-4b2a-ad55-6303168a538a,0,6,6,6,6,7,7,7,7,5,7,5,6,7,7,7,7
1e61c659-342e-4227-b161-89797e7b89ae,0,7,7,7,6,4,7,7,7,5,7,4,7,7,7,7,7
6b2ba2f9-02de-4cb4-8a66-5753ae1a230a,0,7,7,7,6,7,7,7,7,5,6,4,7,7,7,7,7
71a9adc6-362f-4224-949f-640ce3cbc992,0,7,7,6,7,7,7,7,7,5,7,6,7,7,7,7,7
aa8c3ba8-9b6f-4d31-b643-4e1f390e5be4,0,7,7,5,6,6,7,6,7,5,7,4,7,7,7,6,7
05e111a0-3e6d-4bbe-a238-4982e1620251,0,6,6,6,6,4,7,7,7,5,6,5,7,7,6,6,7
2146a108-9923-455d-a922-92b94f8eb152,0,7,7,7,7,6,7,7,7,5,7,6,7,7,7,7,7
45367285-2591-4f0c-92bb-0a2150d35457,0,6,6,3,7,6,7,6,7,5,7,6,6,7,6,7,7
b9da77cc-e5df-4731-9a46-c65de4911ade,0,6,6,7,7,7,7,7,2,5,5,3,3,3,5,6,7
20d614ce-927b-4b4e-8314-897202018e91,0,7,7,7,7,4,7,7,7,5,7,4,7,7,7,7,7
0b28af51-0dc9-4bd0-886c-c6e92dcc8125,0,4,6,1,6,4,7,6,7,5,6,4,6,7,7,7,7
b89449c6-5993-4d4f-aae6-6fefd95ae6ef,0,2,3,2,4,6,7,7,7,5,7,2,5,5,4,7,7
0520d67c-52b8-445b-aced-0d669d3ea705,0,7,7,7,7,4,7,7,7,5,6,6,7,7,7,7,7
038fb863-ddf6-4873-b2e6-62efb1895049,0,6,6,5,7,7,7,7,5,5,7,6,7,7,6,7,7
5e3d50d5-2435-4136-8c26-f9aa7f905d7b,0,5,3,5,5,7,6,7,7,5,3,3,6,5,7,7,7
e9226fab-1196-4afb-97b0-b33a78aae387,0,7,7,7,7,7,7,7,7,5,6,6,7,7,7,7,7
15edc4a0-288c-465e-889f-edd8ca8545c2,0,6,4,6,7,7,7,7,4,5,4,4,4,6,6,7,7
8caa1e0b-d450-4ec9-9524-032dd5783dfa,0,7,7,5,7,6,7,5,7,5,7,7,6,6,7,7,7
65c861b8-2144-47df-a18c-6c9991de3536,0,6,5,3,5,4,6,6,5,5,6,6,4,5,3,7,7
87d04ee9-abbf-4c8d-bdfd-49f72c61ca94,0,6,5,6,3,5,7,7,7,5,6,5,4,6,6,7,7
dc7936ab-92e6-42b2-9404-5dc0fb28ec4f,0,2,2,7,4,1,1,7,5,5,6,4,2,2,1,7,7
735fa927-d7b8-421b-9b88-93067282fbfc,0,6,7,6,7,7,7,7,7,5,7,5,7,7,7,7,7
51e1fa02-0e5e-450c-b02f-977d6186dd86,0,6,6,6,6,7,7,7,6,5,6,6,7,6,7,7,7
e4c6c5b5-748a-40b1-8b3c-8c91dd1b43c7,0,7,7,7,7,5,5,7,7,5,6,6,7,7,7,7,7
6e763514-4afc-4335-9428-ad4e6821892e,0,7,7,7,7,7,7,7,7,5,6,5,7,7,7,3,6
b10ee769-d53e-4387-8a5c-62535432fc87,0,6,6,5,6,7,6,6,7,5,6,4,6,6,6,6,6
33e39ca7-b3be-4516-b734-450d9789450a,0,6,6,7,6,6,7,6,7,5,6,7,7,7,6,6,6
b24ff372-b5d6-452d-9b93-2b74390b9c52,0,5,5,5,5,5,7,6,6,5,6,6,4,5,4,6,6
15cf8220-70c4-4c5b-8d11-02edd2efc927,0,4,4,4,5,5,3,4,5,5,3,3,4,4,4,6,6
6c2f738c-0c1d-43f3-b2b5-ce4fe907e8f8,0,5,2,6,2,4,7,6,7,5,6,2,6,6,3,6,6
b65f8f9f-0a8a-4bd2-a9af-420990929c11,0,5,6,3,6,5,5,6,7,5,5,5,6,4,7,6,6
706b8a5c-8f14-4087-afb4-abdab92263c7,0,7,6,7,6,7,7,7,7,5,7,5,7,7,7,7,6
916a12dc-1c57-4012-8a95-6221407ee3de,0,6,6,4,5,4,7,4,7,5,6,4,6,6,7,6,6
3d1afa6d-de7c-448f-96ac-f8a8ac7b61d5,0,3,3,6,3,4,6,5,6,5,5,3,5,3,6,6,6
1ced4e5c-69e1-496a-99a4-106f4f536f0e,0,1,3,4,5,6,7,7,6,5,6,4,4,1,1,6,6
7ea4e5b1-8ecb-449a-9950-5c4bf5ecf902,0,6,7,3,7,7,7,7,7,5,6,4,6,7,7,5,6
82d2deb1-d5f2-472c-8f14-6bf208e08474,0,6,7,7,4,1,7,7,7,5,5,2,5,7,7,7,6
98ec369d-3cc1-48c2-b5ab-9bf483b1155f,0,6,3,7,4,7,7,6,7,5,7,6,3,3,5,5,5
233104be-f47d-4c4c-b4e0-9d302a18c4a5,0,4,6,2,4,3,5,7,5,5,5,4,5,4,6,6,5
602ccabb-118f-47e1-aaad-167ac1847bcc,0,5,5,6,6,6,7,4,5,5,6,4,5,5,5,5,5
af4bbfec-6809-4769-ad53-3c0000e3293e,0,5,5,6,6,7,6,7,5,5,5,4,5,5,6,5,5
9d4c8fa0-773c-4883-8e51-c038de3437b1,0,5,5,6,5,5,7,7,7,5,6,6,5,5,5,3,5
3d31cc5d-568c-4f10-afde-4bef314cc10a,0,7,7,6,7,7,6,6,7,5,7,7,6,7,7,5,5
6a6d3664-0b16-4570-801b-5b3aebff0a27,0,5,3,5,4,4,6,5,6,5,6,4,5,4,5,4,4
fcf60061-94bf-4c81-91aa-be4830968b3b,0,3,5,4,5,4,6,4,5,5,6,3,4,4,4,5,4
cf6118f0-6e50-434c-8ad4-8d2540d615d2,0,5,2,5,5,5,5,6,6,5,6,5,6,5,3,3,4
134be51c-9495-4278-babe-763b7e8f0791,0,4,2,1,3,4,5,7,6,5,5,4,2,3,6,6,4
0ea60adf-c84f-4ddf-a4eb-97e8298980fa,0,7,5,3,5,5,5,6,7,5,6,5,6,5,7,4,2
c96b2053-4a1e-4eb7-a352-929737d192b3,0,2,1,7,5,5,6,3,6,5,5,3,5,1,6,5,1
c4fa48cd-214d-480b-a65d-b521a4f4d0ae,0,5,1,1,5,6,6,5,5,5,6,5,6,5,5,,
8efb918d-1362-4e35-acba-016d44b75555,0,4,5,4,4,4,7,6,4,5,6,4,4,4,5,,
003d48b2-644a-4d45-8c9a-16fa014c63c6,0,5,3,3,3,5,3,6,6,5,5,4,5,5,5,,
a0a8c309-99a6-44c7-91d2-502172f5e9df,0,7,7,6,7,7,6,7,7,5,6,6,7,7,7,,
82907c4b-4267-46a0-8ac9-8755d2d2e7b9,1,1,1,7,1,7,7,4,4,5,6,4,4,4,4,7,7
9b267736-94b7-4e6e-a31b-95945d357b9c,1,6,6,6,7,7,5,6,6,5,5,5,6,6,6,7,7
d9e9b283-d8b1-4bf1-844d-d74c8368fa8b,1,5,5,1,5,6,5,7,5,5,6,4,5,6,5,7,7
4fe002dc-5999-4eea-a22b-ced35bc84075,1,6,6,1,7,4,6,6,6,5,7,1,6,6,6,7,7
548a8320-3955-4185-826d-4943d27eabb0,1,7,7,6,7,6,7,7,7,5,6,5,6,7,7,7,7
3635b733-b712-4d5a-acda-30d79052d5ac,1,4,5,1,6,7,7,7,7,5,7,1,7,5,4,7,7
b6107668-87b6-4b99-b576-dda0c368f3e7,1,7,7,5,7,7,7,7,7,5,7,7,6,6,6,7,7
fad8ff3b-577c-43b3-96ed-08a7612d5156,1,7,7,5,7,6,7,7,7,5,7,6,7,7,7,7,7
34192248-6d1d-4494-9fd5-d12c9620da52,1,5,3,5,3,5,5,7,6,5,7,6,6,4,7,7,7
af4875c3-fe36-4a71-b557-9d5a69fed498,1,4,5,4,5,6,6,5,6,5,4,4,5,5,6,6,7
896b9fb3-88eb-42cd-84bd-9152682360ea,1,1,1,3,7,7,7,2,7,5,7,4,1,2,1,7,7
ccab26c5-92fb-4aae-8dec-6ba2b7d12ec3,1,7,7,7,7,4,7,7,7,5,5,4,7,7,7,7,7
e336a2ff-3d27-441d-893e-7d2af1b5403f,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7
d2bfb344-e181-43bb-aa5e-6268c6eeff3d,1,6,7,7,7,5,7,7,7,5,7,6,7,7,7,7,7
9182187a-be50-4362-b450-595745578da3,1,5,7,4,7,4,6,6,7,5,6,7,6,6,7,7,7
20800aae-61a6-4d99-944b-6e675a6f67dc,1,7,7,3,7,7,7,7,7,5,6,5,7,7,6,7,7
7a42bc55-84ae-47e2-b0d4-00c3d63777ec,1,7,7,7,5,7,6,7,7,5,6,5,7,7,7,7,7
a07a6525-58e1-4e64-8c14-15ebb3e0e228,1,4,3,3,4,6,6,6,7,5,5,4,5,4,6,7,7
f661ee33-2f86-4c93-9e20-e0c5b83735b1,1,7,7,6,7,6,7,7,7,5,6,6,7,7,7,7,7
77e39f91-0c70-4175-88b0-6aa6a5f057a7,1,4,6,7,4,5,7,5,6,5,6,4,5,6,6,7,7
80a77ef9-4284-4da4-a16a-368b55b85c77,1,3,4,2,3,7,4,7,5,5,5,4,2,2,1,6,7
51bed5d0-5dbc-4a97-8995-3a17a498e31c,1,6,5,5,6,5,7,7,7,5,4,5,7,3,7,7,7
dd7de6ff-2f07-489a-a391-0ad7d8ec2dbe,1,2,2,2,1,2,1,2,2,5,1,4,1,1,1,7,7
59ffcdef-f70d-45ad-bc35-a6573f25e5b2,1,6,5,2,7,4,7,7,6,5,7,5,7,6,7,7,7
02f044f1-095f-45d3-87aa-f0a58772b09e,1,4,5,1,7,6,7,7,7,5,7,4,6,6,7,7,7
72c29668-22b7-495c-9f3e-a40dcd34b16f,1,7,7,4,7,4,7,7,7,5,7,4,7,7,7,7,7
f39c29dc-7bc4-40b8-b741-e98565fd338f,1,7,6,7,6,7,7,7,7,5,7,4,7,7,7,7,7
a5bfebfa-0d40-4e2b-9852-04808af90fbd,1,7,7,7,7,7,5,7,6,5,7,5,7,7,7,7,7
d2a95a47-16c9-4f7c-ba6f-87239681f011,1,5,5,3,6,4,4,7,7,5,7,6,6,5,7,7,7
3831c6dd-4009-4c5e-9722-de082dd37390,1,6,5,7,4,5,1,7,7,5,4,4,5,4,6,7,7
8a228fc0-004f-45b9-b07c-0df4323fce69,1,6,5,7,7,6,7,7,7,5,6,5,4,5,6,7,7
4c199ee7-e619-4b23-a2cc-4e7c597763b9,1,7,6,7,5,6,6,7,7,5,6,6,6,6,7,7,7
30c46b96-488f-48ab-bf1d-f8d5ec8b2eb0,1,5,3,5,5,5,6,7,6,5,7,6,5,5,5,7,7
048a0b29-7dd5-4454-be7e-09f37b670381,1,6,6,1,7,7,7,7,7,5,6,3,7,6,7,7,7
f5d201b1-3ff9-40cf-9971-77b3f6c815bd,1,6,7,6,6,7,6,7,4,5,6,5,7,6,7,7,6
a40b005f-efe2-4117-b84a-edbe27c71314,1,6,6,3,6,7,7,6,6,5,4,4,5,6,7,7,6
7bfe444d-5691-480d-938f-902c3c97f6c5,1,5,3,1,3,3,7,6,2,5,5,4,2,3,4,6,6
e95cf640-39be-444f-a49e-1085b3e140ee,1,7,7,5,7,7,7,7,7,5,5,5,7,7,7,6,6
584f239c-9715-47d6-9a7a-600d0b650a1b,1,7,6,6,7,6,4,7,7,5,6,2,7,7,7,6,6
8dd72841-00ed-472f-bd4d-555caaeb4eca,1,5,6,5,7,7,7,7,6,5,7,4,6,6,7,6,6
b8a66e34-d018-4093-a5ef-18f08d22250a,1,6,6,1,5,6,7,6,7,5,7,4,4,6,6,6,6
1783d7ef-9a54-4ea6-b5d5-132953967b7f,1,6,5,4,6,4,7,7,6,5,6,5,6,6,6,6,6
9216d40f-7c4e-4b1b-af28-68d1cde9c2fe,1,6,6,3,6,7,7,5,6,5,7,5,6,6,5,6,6
62908259-d16e-4674-9b8a-18e0199819a9,1,6,5,5,6,7,5,6,3,5,6,6,5,5,5,3,6
9c4fa3ac-38d0-4b63-9d0f-2e74d8453aaa,1,6,5,6,3,6,5,7,7,5,5,4,5,5,7,6,6
ea2e617d-6a5f-459c-8cb5-7289d11fbc63,1,6,5,5,6,6,5,7,6,5,5,3,6,6,6,6,6
fb1c49b2-29b2-4279-aac5-52e0722ead0e,1,6,4,4,4,5,7,7,7,5,4,4,6,5,4,6,6
ccaa0ec7-3c35-4ebd-9120-83a52e7c2cf9,1,2,1,2,4,4,7,5,5,5,7,4,4,4,3,5,6
63171c6b-39ee-4105-a57e-a069f7fad504,1,6,7,7,7,6,7,6,7,5,7,5,6,7,6,5,6
88239dce-a0c0-458c-b9d6-571cfd9d006a,1,7,7,7,7,7,5,7,7,5,7,6,7,7,7,6,6
620597f8-d1cf-4aad-b244-e713639d3e8e,1,7,7,6,7,3,7,7,7,5,6,5,7,6,7,5,6
4907b1c3-9a4b-45e3-bd9a-e9f2b7913bd7,1,5,5,3,7,6,6,7,6,5,7,2,6,6,6,6,6
fba51864-6819-4c43-bc7c-91ac12ac9c88,1,6,6,1,6,5,7,5,5,5,6,6,5,5,5,6,6
505c3a98-53a6-4922-8d2f-07a3fcad73a6,1,6,6,5,5,4,6,7,7,5,6,6,6,6,7,6,6
b6751005-2af3-4c54-937f-7df74291fbfe,1,6,6,5,7,7,6,7,7,5,7,6,7,7,6,6,6
6933eeb4-3cbe-43d1-9236-ccc32efbd8b2,1,5,5,7,5,5,5,7,7,5,4,3,6,5,6,5,6
1c4bd583-2c24-4974-8bc9-b802c0c7fbc8,1,6,5,7,3,4,5,7,6,5,5,5,5,5,5,5,5
8c07e3e2-337b-4725-9e8d-79ad90bd1e53,1,6,7,5,7,6,6,5,6,5,6,6,7,7,7,6,5
cf7a46d0-8a58-4577-84a4-bd94c22e2106,1,6,6,2,7,7,6,7,7,5,6,6,7,6,7,6,5
6c247775-f5be-4b30-b9db-bb8517fe45d1,1,7,7,5,7,7,5,5,6,5,7,6,7,7,7,5,5
a8589adf-4a8c-4556-8d16-13414d6ad1c5,1,1,3,1,5,4,1,5,1,5,1,4,2,2,2,5,5
034a9236-4442-4770-b6b1-2dda765e77cd,1,6,6,4,5,6,7,4,4,5,6,6,6,6,4,3,4
9fda0a76-c949-4d5e-8c7c-89a30c29bfba,1,6,6,3,7,7,7,7,7,5,7,7,6,6,7,4,4
e945a3e0-a0eb-4122-a5f2-3e9d5affcadf,1,7,7,7,7,7,7,7,7,5,5,4,4,4,6,4,4
93b3f96d-e38a-4e72-91e3-4617e64ea904,1,4,6,5,4,5,6,7,7,5,6,4,4,5,3,7,4
1cc65f23-3d27-4b03-8a9c-dd91c86e8350,1,4,3,4,1,4,5,5,5,5,2,3,3,4,1,3,3
2b3a04cb-7b33-4198-9dd9-697ae47b3b43,1,6,6,6,7,5,6,6,5,5,7,6,6,6,6,,
06483068-8764-4ab9-9140-f13e4904f70c,1,5,7,2,7,4,7,7,7,5,5,4,4,6,5,,
ccd84cb5-13fc-42b8-8475-c83afae99c3d,1,7,6,6,7,7,7,7,7,5,6,6,7,7,7,,
2314fd71-0bda-4d1e-aa41-598a8e6cb99f,1,6,6,6,6,5,6,7,6,5,6,4,6,6,7,,
675c8157-eaf6-4174-ab4b-e12e4deb8505,1,6,6,7,5,7,7,7,7,5,6,6,6,6,6,,
a27d2d04-2879-4ae9-916f-dc34c2a3fa90,1,7,7,6,7,6,7,7,7,5,6,6,7,7,7,,
b76c53df-6df6-45f8-acf0-3620bc813a7f,1,4,3,6,3,4,5,7,4,5,5,3,4,4,4,,
4f0efcf0-10f4-438c-b9c1-74d5451779f1,1,3,3,4,4,5,5,5,5,5,5,3,4,4,4,,
fac1b9ce-f686-4477-a665-dc05f7b31e9d,1,2,2,5,1,5,7,3,5,5,6,5,3,3,3,,
bde2c99a-812a-4f53-a181-ce9f2b77d926,1,6,7,5,7,7,5,7,6,5,7,5,7,6,7,,
7165c80a-f033-4b42-ad03-a505aecbcbea,1,7,7,6,7,5,6,6,6,5,6,4,6,6,7,,
872dba73-6dc5-432e-a406-556aaea51cd5,2,7,7,6,7,7,7,7,7,5,7,6,7,7,7,,
1089a767-6ccb-4bce-92a8-d01112fc6596,2,6,6,7,6,6,7,7,6,5,5,2,7,6,6,,
f24cac37-b751-4502-8c79-45372513f88c,2,6,5,7,7,7,7,4,6,5,5,4,6,7,6,,
65ee3610-eb2b-4150-8372-ab45ef13d315,2,7,7,7,7,7,7,7,7,5,7,7,7,6,6,,
8f3f2df9-0c33-416a-b3c2-c3558c759a70,2,6,7,7,6,5,7,7,7,5,7,5,7,6,7,7,7
1dfb7e5f-5e78-453d-9bdb-d5f0753e61d8,2,4,7,3,7,5,7,5,7,5,7,5,6,6,7,1,7
7a6992f0-3c6a-4e16-ab79-59b9426f3da5,2,7,7,7,6,7,7,5,6,5,7,5,6,6,6,7,7
bd985d65-a4fc-4625-90c6-62da12803a1d,2,7,7,7,6,4,7,7,7,5,5,5,7,7,7,7,7
9d550ced-f4f3-4390-ba01-f2ae06fdacbd,2,4,5,3,7,7,7,7,7,5,7,6,5,6,5,7,7
076acda8-7215-4653-bdb8-e93ea5639c10,2,7,7,7,7,5,7,7,2,5,7,5,7,6,7,7,7
45b61b18-3c73-4183-aa39-58f7fceac788,2,6,6,7,6,6,6,7,7,5,6,3,7,7,7,7,7
c4004fad-644e-4241-99c2-2b7cd0dcf7cb,2,7,7,7,7,7,7,6,6,5,6,5,7,7,7,7,7
9e81b15a-899a-4274-bc94-7a7af043bb3c,2,6,6,6,4,6,5,7,7,5,5,3,6,6,6,7,7
3cb39e27-0b65-400f-b96e-10c1921f31c3,2,6,5,6,5,5,3,7,7,5,2,3,6,5,4,7,7
2af8a1a0-98bc-48bd-99bb-981c6b37899d,2,7,6,7,6,6,6,7,7,5,5,5,7,6,7,7,7
f50405e4-d718-48e2-b3b7-63504cfc105f,2,7,7,7,7,7,5,7,7,5,6,5,7,7,7,7,7
d1ff42e9-487b-42eb-8276-3197e42285f4,2,6,5,5,4,6,5,6,7,5,4,4,5,4,4,7,7
f4404c46-ffd3-43eb-abf5-be7ae7bb3748,2,6,6,5,6,4,6,7,7,5,6,3,6,6,7,7,7
52545f70-c005-452a-a498-733cf218a2a8,2,7,7,6,6,5,5,6,7,5,5,5,4,5,7,5,7
b8a0a0e0-8fe4-4d15-8672-86b03b4f9f50,2,6,3,2,4,5,5,6,7,5,2,2,6,7,7,7,7
5870e8c5-74a8-4c78-bc3e-f999ed005421,2,3,7,3,6,6,7,6,6,5,6,5,6,6,7,7,7
d9c592e1-2dbf-4e94-9189-8bd87619f92d,2,6,6,7,7,7,7,7,7,5,7,4,6,6,7,7,7
2222a173-4b7a-4a41-af82-226b69ba3207,2,7,6,7,4,6,7,7,7,5,3,5,7,7,7,7,7
c093b62b-b165-4f8b-9b77-ebd383090bcd,2,6,6,7,5,6,5,7,7,5,4,4,6,6,7,7,7
f005fb43-95ec-47e6-aa5f-0e4db6ce2df2,2,7,7,7,7,7,6,7,7,5,6,3,7,7,7,7,7
44d11e5e-a864-49e6-bcba-e3a4ed62cf7c,2,6,4,5,4,6,3,7,7,5,7,6,7,7,7,7,7
e06cf2d3-a5a8-4c8a-ac52-823c0babd502,2,7,7,7,7,4,6,7,7,5,5,4,6,7,7,7,7
c662a1bf-ed5d-47b3-b167-08e815e8a7f9,2,7,7,7,6,6,6,7,7,5,7,7,6,6,6,7,7
cf6b9c28-58f2-4a02-a19e-00d3d1fff6a4,2,6,6,5,6,6,6,7,7,5,6,5,6,6,6,7,7
c6bc3c9d-4ade-47a9-90bd-ce321f3928e8,2,6,6,6,6,7,7,7,7,5,4,4,7,7,7,7,7
8242a116-094f-41b4-b401-6618b1d1af2e,2,6,5,5,7,6,7,6,6,5,5,2,6,6,7,7,7
0a1770d0-2aae-47ea-b4b3-89193a3728e4,2,5,4,2,5,5,6,7,7,5,6,5,5,5,5,7,7
022b0727-abba-498e-b76e-ac553df35658,2,5,6,7,7,6,7,1,7,5,7,6,5,6,1,7,7
e3337b32-9857-4905-9547-faa731756360,2,7,7,7,7,7,7,7,7,5,7,4,7,7,7,7,7
4a3bd85f-075d-452c-9cda-d1b68d544a02,2,5,6,1,7,6,7,6,6,5,3,3,6,5,6,7,7
4b500215-f0c9-4af4-ad4b-fd27cc0e5309,2,7,7,5,7,5,7,7,7,5,7,7,7,6,7,7,7
2eeac7c9-fe86-454d-832b-32f62cb2a9dc,2,6,6,7,7,5,6,7,7,5,7,4,7,7,7,7,7
01351f2d-7931-4dc8-b4ea-b670a087c89e,2,7,7,7,7,6,7,7,7,5,6,5,7,7,7,7,7
e881e24f-89ef-4b65-929d-a99777fb7462,2,6,5,7,5,5,7,7,7,5,7,2,5,7,7,7,7
fca8c90d-ec04-4ea0-af57-3f8dc9baa8a4,2,6,6,2,7,6,7,7,7,5,6,5,7,7,7,7,7
d1791678-d227-49d5-a4c5-5cb59153e1a2,2,7,7,7,6,4,7,7,7,5,6,6,7,7,7,7,7
ec0784c2-4eaf-4811-9d4c-92a7c3e7e0b4,2,6,6,1,6,6,6,7,7,5,6,5,7,7,5,6,7
42fcb324-f5fe-46f9-bd7f-207768f44d90,2,7,7,7,4,4,7,7,7,5,7,4,7,7,7,7,7
bd2bac90-64d7-4e15-8eda-d4daaee70733,2,6,6,4,7,5,7,5,7,5,6,5,6,6,6,7,7
ab4bad05-2c9e-4861-8298-1bc2bd09b2b1,2,5,6,7,7,5,7,6,7,5,4,4,5,5,7,7,7
0db42da8-6b45-4b31-95d0-784fea5a2156,2,5,3,5,5,2,5,6,7,5,4,3,5,7,6,6,7
bc763b68-86e9-4636-bacb-77d92c0c6dba,2,6,6,7,7,7,4,7,5,5,6,3,6,6,7,7,7
d23ba071-d1f3-4e86-8f82-0cdd796b0841,2,6,6,7,6,5,7,7,7,5,6,5,7,7,7,7,7
4b2e02f0-41b2-492c-aa19-82298bf8cc00,2,6,4,3,7,7,7,7,7,5,5,6,6,7,5,7,7
f97adbc2-cd4f-4aa3-a015-630d215a8f67,2,6,6,1,6,6,7,4,7,5,7,6,6,6,7,7,7
36bb1693-580d-4d5a-9b0b-6d415d60daed,2,3,3,6,5,5,5,6,5,5,7,7,1,4,1,6,7
8b2023e7-f8b9-449d-8d30-0aa4e4b0020f,2,5,6,2,6,7,6,4,6,5,6,4,6,6,6,6,6
1679fe9b-839b-4c50-8dd7-5005a692f2fb,2,6,5,7,6,6,6,7,7,5,6,5,5,6,5,4,6
a0fcfd29-70af-4cda-b831-8a720c1c53d9,2,4,5,1,6,4,4,5,5,5,6,6,4,5,5,6,6
4ce8d2c8-52c6-4c8b-9e06-1800c737c428,2,4,3,2,2,6,6,7,7,5,6,5,4,4,5,6,6
9745dc09-4090-46f1-b29f-16e8bc0ad0d5,2,6,7,5,6,6,7,7,7,5,6,5,7,7,7,7,6
82621f36-6218-4c54-a958-35be3dc5cb8e,2,6,7,1,4,7,7,7,7,5,6,6,7,7,7,5,6
6fdae1a6-a5e7-4bfd-b8e1-2516eb297fe2,2,4,5,5,6,4,6,6,6,5,3,2,6,6,6,6,6
6220043c-e6d3-4d15-a6fd-b9408a0d5687,2,6,5,5,4,4,5,6,6,5,4,7,6,4,4,6,6
cac9f63b-50af-49e4-b028-76f2d8181dc2,2,6,2,3,6,3,6,6,6,5,6,4,2,5,2,6,6
8e1dfb14-f950-4bc0-9b3a-06c3118bb722,2,6,6,7,6,4,7,4,7,5,4,4,6,6,6,7,6
eae95567-02eb-46c4-98f8-48e9f332bc2e,2,7,6,6,5,7,6,7,6,5,5,5,6,7,7,5,6
459b227c-d1a6-44c0-8990-a983e5370103,2,7,7,7,7,6,6,6,6,5,5,4,6,7,6,6,6
af80cdff-0963-4566-8e91-91ff2d7655c8,2,5,4,1,5,1,6,6,6,5,6,3,5,5,4,7,6
41eb0b8e-61b6-4965-945f-fc10ab3e55fa,2,6,4,2,4,4,6,6,6,5,5,1,4,5,4,6,6
89dce7f3-3d1f-4fbd-8de9-040d4594b9c5,2,5,3,4,1,7,7,6,6,5,3,2,4,5,6,6,6
17e0049d-5913-46a2-9a14-919ff844f460,2,6,5,6,6,6,5,6,5,5,4,4,6,6,7,6,6
11477b46-b865-41b0-94fe-132fe8a39b01,2,6,6,5,6,6,7,6,7,5,6,5,5,6,6,6,6
