group,user_id,Q1,Q10,Q11,Q12,Q13,Q14,Q16,Q17,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
2,82907c4b-4267-46a0-8ac9-8755d2d2e7b9,1,6,4,4,4,4,7,7,1,7,1,7,7,4,4,5
2,8a228fc0-004f-45b9-b07c-0df4323fce69,6,6,5,4,5,6,7,7,5,7,7,6,7,7,7,5
2,8c07e3e2-337b-4725-9e8d-79ad90bd1e53,6,6,6,7,7,7,6,5,7,5,7,6,6,5,6,5
2,9216d40f-7c4e-4b1b-af28-68d1cde9c2fe,6,7,5,6,6,5,6,6,6,3,6,7,7,5,6,5
2,93b3f96d-e38a-4e72-91e3-4617e64ea904,4,6,4,4,5,3,7,4,6,5,4,5,6,7,7,5
2,9b267736-94b7-4e6e-a31b-95945d357b9c,6,5,5,6,6,6,7,7,6,6,7,7,5,6,6,5
2,9c4fa3ac-38d0-4b63-9d0f-2e74d8453aaa,6,5,4,5,5,7,6,6,5,6,3,6,5,7,7,5
2,a07a6525-58e1-4e64-8c14-15ebb3e0e228,4,5,4,5,4,6,7,7,3,3,4,6,6,6,7,5
2,a27d2d04-2879-4ae9-916f-dc34c2a3fa90,7,6,6,7,7,7,,,7,6,7,6,7,7,7,5
2,b6107668-87b6-4b99-b576-dda0c368f3e7,7,7,7,6,6,6,7,7,7,5,7,7,7,7,7,5
2,b6751005-2af3-4c54-937f-7df74291fbfe,6,7,6,7,7,6,6,6,6,5,7,7,6,7,7,5
2,b76c53df-6df6-45f8-acf0-3620bc813a7f,4,5,3,4,4,4,,,3,6,3,4,5,7,4,5
2,bde2c99a-812a-4f53-a181-ce9f2b77d926,6,7,5,7,6,7,,,7,5,7,7,5,7,6,5
2,ccaa0ec7-3c35-4ebd-9120-83a52e7c2cf9,2,7,4,4,4,3,5,6,1,2,4,4,7,5,5,5
2,cf7a46d0-8a58-4577-84a4-bd94c22e2106,6,6,6,7,6,7,6,5,6,2,7,7,6,7,7,5
2,dd7de6ff-2f07-489a-a391-0ad7d8ec2dbe,2,1,4,1,1,1,7,7,2,2,1,2,1,2,2,5
2,f39c29dc-7bc4-40b8-b741-e98565fd338f,7,7,4,7,7,7,7,7,6,7,6,7,7,7,7,5
2,f661ee33-2f86-4c93-9e20-e0c5b83735b1,7,6,6,7,7,7,7,7,7,6,7,6,7,7,7,5
2,fad8ff3b-577c-43b3-96ed-08a7612d5156,7,7,6,7,7,7,7,7,7,5,7,6,7,7,7,5
2,fba51864-6819-4c43-bc7c-91ac12ac9c88,6,6,6,5,5,5,6,6,6,1,6,5,7,5,5,5
3,022b0727-abba-498e-b76e-ac553df35658,5,7,6,5,6,1,7,7,6,7,7,6,7,1,7,5
3,076acda8-7215-4653-bdb8-e93ea5639c10,7,7,5,7,6,7,7,7,7,7,7,5,7,7,2,5
3,0a1770d0-2aae-47ea-b4b3-89193a3728e4,5,6,5,5,5,5,7,7,4,2,5,5,6,7,7,5
3,0db42da8-6b45-4b31-95d0-784fea5a2156,5,4,3,5,7,6,6,7,3,5,5,2,5,6,7,5
3,1089a767-6ccb-4bce-92a8-d01112fc6596,6,5,2,7,6,6,,,6,7,6,6,7,7,6,5
3,16b06c1b-acf6-46c6-83c4-2858f11fe174,5,3,3,5,5,5,,,5,3,6,5,5,4,5,5
3,224c15ab-f507-4bf4-b101-9d1006a9bde0,6,5,4,7,4,7,,,3,7,5,7,3,7,6,5
3,2af8a1a0-98bc-48bd-99bb-981c6b37899d,7,5,5,7,6,7,7,7,6,7,6,6,6,7,7,5
3,2eeac7c9-fe86-454d-832b-32f62cb2a9dc,6,7,4,7,7,7,7,7,6,7,7,5,6,7,7,5
3,36381c3e-6fb1-4852-82b8-22bf52396fc9,6,7,6,7,6,5,5,5,6,7,6,6,7,7,7,5
3,36bb1693-580d-4d5a-9b0b-6d415d60daed,3,7,7,1,4,1,6,7,3,6,5,5,5,6,5,5
3,3cb39e27-0b65-400f-b96e-10c1921f31c3,6,2,3,6,5,4,7,7,5,6,5,5,3,7,7,5
3,44d11e5e-a864-49e6-bcba-e3a4ed62cf7c,6,7,6,7,7,7,7,7,4,5,4,6,3,7,7,5
3,45b61b18-3c73-4183-aa39-58f7fceac788,6,6,3,7,7,7,7,7,6,7,6,6,6,7,7,5
3,4a3bd85f-075d-452c-9cda-d1b68d544a02,5,3,3,6,5,6,7,7,6,1,7,6,7,6,6,5
3,4b2e02f0-41b2-492c-aa19-82298bf8cc00,6,5,6,6,7,5,7,7,4,3,7,7,7,7,7,5
3,4b500215-f0c9-4af4-ad4b-fd27cc0e5309,7,7,7,7,6,7,7,7,7,5,7,5,7,7,7,5
3,4ce8d2c8-52c6-4c8b-9e06-1800c737c428,4,6,5,4,4,5,6,6,3,2,2,6,6,7,7,5
3,52545f70-c005-452a-a498-733cf218a2a8,7,5,5,4,5,7,5,7,7,6,6,5,5,6,7,5
3,6220043c-e6d3-4d15-a6fd-b9408a0d5687,6,4,7,6,4,4,6,6,5,5,4,4,5,6,6,5
3,65ee3610-eb2b-4150-8372-ab45ef13d315,7,7,7,7,6,6,,,7,7,7,7,7,7,7,5
3,7a6992f0-3c6a-4e16-ab79-59b9426f3da5,7,7,5,6,6,6,7,7,7,7,6,7,7,5,6,5
3,8242a116-094f-41b4-b401-6618b1d1af2e,6,5,2,6,6,7,7,7,5,5,7,6,7,6,6,5
3,872dba73-6dc5-432e-a406-556aaea51cd5,7,7,6,7,7,7,,,7,6,7,7,7,7,7,5
3,89dce7f3-3d1f-4fbd-8de9-040d4594b9c5,5,3,2,4,5,6,6,6,3,4,1,7,7,6,6,5
3,8f3f2df9-0c33-416a-b3c2-c3558c759a70,6,7,5,7,6,7,7,7,7,7,6,5,7,7,7,5
3,9b48bf60-8c40-4c51-8bb6-5c5aa94c388b,6,7,6,7,6,7,5,5,5,4,6,4,7,7,7,5
3,a0fcfd29-70af-4cda-b831-8a720c1c53d9,4,6,6,4,5,5,6,6,5,1,6,4,4,5,5,5
3,b8a0a0e0-8fe4-4d15-8672-86b03b4f9f50,6,2,2,6,7,7,7,7,3,2,4,5,5,6,7,5
3,bd2bac90-64d7-4e15-8eda-d4daaee70733,6,6,5,6,6,6,7,7,6,4,7,5,7,5,7,5
3,bd985d65-a4fc-4625-90c6-62da12803a1d,7,5,5,7,7,7,7,7,7,7,6,4,7,7,7,5
3,c6bc3c9d-4ade-47a9-90bd-ce321f3928e8,6,4,4,7,7,7,7,7,6,6,6,7,7,7,7,5
3,cac9f63b-50af-49e4-b028-76f2d8181dc2,6,6,4,2,5,2,6,6,2,3,6,3,6,6,6,5
3,d1791678-d227-49d5-a4c5-5cb59153e1a2,7,6,6,7,7,7,7,7,7,7,6,4,7,7,7,5
3,d1ff42e9-487b-42eb-8276-3197e42285f4,6,4,4,5,4,4,7,7,5,5,4,6,5,6,7,5
3,d21803a4-7122-4082-9fb5-9d852beee96e,6,6,6,6,6,6,,,6,5,7,7,6,6,4,7
3,d9c592e1-2dbf-4e94-9189-8bd87619f92d,6,7,4,6,6,7,7,7,6,7,7,7,7,7,7,5
3,e06cf2d3-a5a8-4c8a-ac52-823c0babd502,7,5,4,6,7,7,7,7,7,7,7,4,6,7,7,5
3,eae95567-02eb-46c4-98f8-48e9f332bc2e,7,5,5,6,7,7,5,6,6,6,5,7,6,7,6,5
3,f50405e4-d718-48e2-b3b7-63504cfc105f,7,6,5,7,7,7,7,7,7,7,7,7,5,7,7,5
3,f97adbc2-cd4f-4aa3-a015-630d215a8f67,6,7,6,6,6,7,7,7,6,1,6,6,7,4,7,5
3,fcd1939f-5daf-4ed7-adc8-ea3368ff1d69,7,5,3,6,6,6,,,7,2,2,4,7,7,7,3
